IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	REQUIRED PROF	RARITIES	MATERIALS	QTY PER CRAFT	ITEM EFFECT QLTY	CUSTOMIZABLE
		Ore Processing						
Yes	Yes	Metal Bar	Weaponsmith - Armorsmith	white-orange	6x Non-Basic Ore, 6x Non-Basic Ore, 6x Non-Basic Ore, 6x Coal	1	Yes	Yes
Yes	Yes	Metal Block	Weaponsmith - Armorsmith	white-orange	3x Non-Basic Ore, 3x Non-Basic Ore, 3x Non-Basic Ore	1	Yes	No
Yes	Yes	Metal Buckles	Weaponsmith - Armorsmith	white-orange	10x Ore, 10x Ore, 2x Coal	1	Yes	No
Yes	Yes	Metal Plates	Weaponsmith - Armorsmith	white-orange	16x Iron, 10x Ore, 10x Ore, 12x Coal	1	Yes	Yes
Yes	Yes	Metal Rings	Weaponsmith - Armorsmith	white-orange	20x Iron, 20x Ore, 20x Ore, 12x Coal	1	Yes	Yes
No	No	Metal Rivets	Weaponsmith - Armorsmith	white-orange	5x Ore, 3x Ore, 2x Coal	1	Yes	No
Yes	Yes	Metal Scales	Weaponsmith - Armorsmith	white-orange	16x Iron, 10x Ore, 10x Ore, 12x Coal	1	Yes	Yes
No	No	Metal Section	Weaponsmith - Armorsmith	white-orange	6x Non-Basic Ore, 6x Non-Basic Ore, 6x Non-Basic Ore, 6x Coal	1	Yes	Yes
No	No	Metal Sheet	Weaponsmith - Armorsmith	white-orange	20x Iron, 20x Ore, 20x Ore, 12x Coal	1	Yes	Yes
								
		Fuel						
No	No	Carbon	Weaponsmith - Armorsmith	white	3x Meat, 3x Ethereal Dust	5	No	No
Yes	Yes	Coal	Weaponsmith - Armorsmith	white	3x Wood, 3x Ethereal Dust	5	No	No
								
		Advanced Armor						
No	No	Mail Boots	Weaponsmith - Armorsmith	white-orange	1x Metal Scales, 1x Metal Scales, 1x Leather Padding, 6x Ethereal Dust	1	Yes	No
Yes	Yes	Mail Coif	Weaponsmith - Armorsmith	white-orange	1x Metal Scales, 1x Metal Scales, 1x Metal Scales, 1x Leather Padding, 6x Ethereal Dust	1	Yes	No
No	No	Mail Gloves	Weaponsmith - Armorsmith	white-orange	1x Metal Scales, 1x Metal Scales, 1x Leather Padding, 6x Ethereal Dust	1	Yes	No
No	No	Mail Hauberk	Weaponsmith - Armorsmith	white-orange	1x Metal Rings, 1x Metal Rings, 1x Metal Rings, 1x Leather Padding, 18x Ethereal Dust	1	Yes	No
No	No	Plate Boots	Weaponsmith - Armorsmith	white-orange	1x Metal Plates, 1x Metal Plates, 1x Leather Padding, 6x Ethereal Dust	1	Yes	No
No	No	Plate Breastplate	Weaponsmith - Armorsmith	white-orange	1x Metal Sheet, 1x Metal Sheet, 1x Metal Sheet, 1x Leather Padding, 18x Ethereal Dust	1	Yes	No
No	No	Plate Gloves	Weaponsmith - Armorsmith	white-orange	1x Metal Plates, 1x Metal Plates, 1x Leather Padding, 6x Ethereal Dust	1	Yes	No
No	No	Plate Helmet	Weaponsmith - Armorsmith	white-orange	1x Metal Plates, 1x Metal Plates, 1x Metal Plates, 1x Leather Padding, 6x Ethereal Dust			
								
		Ranged Weapon Components						
No	No	Arcane Actuator	Weaponsmith - Armorsmith	white-orange	1x Metal Bar	1	Yes	No
No	No	Arrowhead Bundle	Weaponsmith - Armorsmith	white-orange	9x Non-Basic Ore, 1x Coal	1	Yes	Yes
No	No	Casting Aperture	Weaponsmith - Armorsmith	white-orange	1x Metal Bar, 1x Metal Bar, 1x Barrel Mold: Arcane, 4x Ethereal Dust, Optional: Runestone: Esoteric	1	Yes	No
No	No	Frostcasting Enclosure	Weaponsmith - Armorsmith	white-orange	1x Weapon Grip, 1x Mana Impeller, 1x Arcane Actuator	1	Yes	No
No	No	Mana Impeller	Weaponsmith - Armorsmith	white-orange	1x Metal Bar	1	Yes	No
No	No	Meta-Magical Conducter	Weaponsmith - Armorsmith	white-orange	1x Metal Bar	1	Yes	No
No	No	Pistol Barrel	Weaponsmith - Armorsmith	white-orange	1x Metal Bar, 1x Metal Bar, 1x Barrel Mold, 4x Ethereal Dust, Optional: Runestone: Esoteric	1	Yes	No
No	No	Pistol Body	Weaponsmith - Armorsmith	white-orange	1x Weapon Grip, 1x Pistol Hammer and Fizzen, 1x Pistol Trigger	1	Yes	No
No	No	Pistol Hammer and Frizzen	Weaponsmith - Armorsmith	white-orange	1x Metal Bar	1	Yes	No
No	No	Pistol Pins	Weaponsmith - Armorsmith	white-orange	1x Metal Bar	1	Yes	No
No	No	Pistol Trigger	Weaponsmith - Armorsmith	white-orange	1x Metal Bar	1	Yes	No
								
		Two Hand Weapon Components						
No	No	Blade Rivets: Great	Weaponsmith - Armorsmith	white-orange	1x Metal Bar, 1x Metal Bar	1	Yes	No
No	No	Great Weapon Crossguard	Weaponsmith - Armorsmith	white-orange	1x Metal Bar, 1x Metal Bar	1	Yes	No
No	No	Great Weapon Pommel	Weaponsmith - Armorsmith	white-orange	1x Metal Bar, 1x Metal Bar	1	Yes	No
No	No	Weapon Blade: Great	Weaponsmith - Armorsmith	white-orange	1x Metal Bar, 1x Metal Bar, 1x Metal Bar, 1x Metal Bar, 1x Blade Mold: Great, 8x Ethereal Dust, Optional: 1x Runestone: Esoteric, 1x Runestone: Esoteric	1	Yes	No
No	No	Weapon Head: Great	Weaponsmith - Armorsmith	white-orange	1x Metal Bar, 1x Metal Bar, 1x Metal Bar, 1x Metal Bar, 1x Head Mold: Great, 8x Ethereal Dust, Optional: 1x Runestone: Esoteric, 1x Runestone: Esoteric	1	Yes	No
No	No	Weapon Hilt: Great	Weaponsmith - Armorsmith	white-orange	1x Weapon Grip, 1x Weapon Grip, 1x Great Weapon Pommel, 1x Great Weapon Crossguard	1	Yes	No
No	No	Weapon Shaft: Medium	Weaponsmith - Armorsmith	white-orange	1x Metal Bar or Plank, 1x Metal Bar or Plank	1	Yes	No
								
		Advanced Weapons						
No	No	Axe	Weaponsmith - Armorsmith	white-orange	1x Weapon Hilt, 1x Weapon Head: Axe, 1x Weapon Shaft: Short, 10x Ethereal Dust	1	Yes	No
No	No	Dagger	Weaponsmith - Armorsmith	white-orange	1x Weapon hilt, 1x Weapon Blade: Short, 1x Blade Rivets, 10x Ethereal Dust	1	Yes	No
No	No	Frostcaster	Weaponsmith - Armorsmith	white-orange	1x Frostcasting Enclosure, 1x Casting Aperture, 1x Meta-Magical Conducter, 10x Ethereal Dust	1	Yes	No
No	No	Great Axe	Weaponsmith - Armorsmith	white-orange	1x Weapon Hilt: Great, 1x Weapon Head: Great Axe, 1x Weapon Shaft: Medium, 20x Ethereal Dust	1	Yes	No
No	No	Great Mace	Weaponsmith - Armorsmith	white-orange	1x Weapon Hilt: Great, 1x Weapon Head: Great Mace, 1x Weapon Shaft: Medium, 20x Ethereal Dust	1	Yes	No
