IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	REQUIRED PROF	RARITIES	MATERIALS	QTY PER CRAFT	ITEM EFFECT QLTY	CUSTOMIZABLE
		Cuts				1	Yes	Yes
No	No	Cut Gemstone: Baguette	Jewelcrafter	white - orange	1x Rough Gem, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	Yes
No	No	Cut Gemstone: Focusing	Jewelcrafter	white - orange	1x Rough Gem, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	Yes
No	No	Cut Gemstone: Marquise	Jewelcrafter	white - orange	1x Rough Gem, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	Yes
No	No	Cut Gemstone: Oval	Jewelcrafter	white - orange	1x Rough Gem, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	Yes
No	No	Cut Gemstone: Round	Jewelcrafter	white - orange	1x Rough Gem, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	Yes
No	No	Cut Gemstone: Square	Jewelcrafter	white - orange	1x Rough Gem, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	Yes
No	No	Cut Gemstone: Triangle	Jewelcrafter	white - orange	1x Rough Gem, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	Yes
No	No	Exacting Cut Gemstone: Briolette	Jewelcrafter	white - orange	1x Rough Gem, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	Yes
No	No	Exacting Cut Gemstone: Heart	Jewelcrafter	white - orange	1x Rough Gem, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	Yes
No	No	Exacting Cut Gemstone: Trillion	Jewelcrafter	white - orange	1x Rough Gem, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	Yes
								
		Grind and Polish						
No	No	Grind Gemstone	Jewelcrafter	white - orange	1x Cut Gem, 1x Grinding Wheel, 1x Blood or Water	1	Yes	No
No	No	Polish Gemstone	Jewelcrafter	white - orange	1x Ground Gem, 1x Grinding Wheel, 1x Water	1	Yes	No
No	No	Polish Soulgem	Jewelcrafter	green	1x Rough Soulgem, 1x Grinding Wheel, 1x Water	1	No	No
								
		Settings						
No	No	Necklace Ball	Jewelcrafter	white - orange	10x Ore, 10x Silver, 5x Ethereal Dust	1	Yes	No
No	No	Necklace Chain	Jewelcrafter	white - orange	4x Ore, 8x Ore, 8x ore, 1x Necklace Ball	1	Yes	No
No	No	Ring Band	Jewelcrafter	white - orange	4x Ore, 8x Ore, 8x ore, 1x Ring Setting	1	Yes	No
								
		Jewelry						
No	No	Necklace	Jewelcrafter	white - orange	1x Polished Exacting Gemstone, 1x Necklace Chain	1	Yes	No
No	No	Ring	Jewelcrafter	white - orange	1x Polished Gemstone, 1x Ring Band	1	Yes	No
