IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	REQUIRED PROF	RARITIES	MATERIALS	QTY PER CRAFT	ITEM EFFECT QLTY	CUSTOMIZABLE
		Components						
No	No	Restored Arm	Necromancer	white - orange	1x Desiccated Arm, 2x Ambrosia Solution	1	Yes	Yes
No	No	Restored Centaur Body	Necromancer	white - orange	1x Desiccated Centaur Body, 2x Ambrosia Solution, 2x Ambrosia Solution, 1x Desiccated Centaur Leg, 1x Desiccated Centaur Leg, 1x Desicated Centaur Leg, 1x Desiccated Dentaur Leg	1	Yes	Yes
No	No	Restored Head	Necromancer	white - orange	1x Desiccated Head, 2x Ambrosia Solution	1	Yes	Yes
No	No	Restored Leg	Necromancer	white - orange	1x Desiccated Leg, 2x Ambrosia Solution	1	Yes	Yes
No	No	Restored Torso	Necromancer	white - orange	1x Desiccated Torso, 2x Ambrosia Solution	1	Yes	Yes
								
		Vessels						
No	No	Centaur Vessel	Necromancer	white - orange	1x Restored Human Head, 1x Restored Human Arm, 1x Restored Human Arm, 1x Restored Centaur Body, 1x Restored Human Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	Elken Vessel	Necromancer	white - orange	1x Restored Elken Head, 1x Restored Human Arm, 1x Restored Human Arm, 1x Restored Beast Leg, 1x Restored Beast Leg, 1x Restored Human Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	Fae Vessel	Necromancer	white - orange	1x Restored Elven Head, 1x Restored Elven Arm, 1x Restored Elven Arm, 1x Restored Elven Leg, 1x Restored Elven Leg, 1x Restored Elven Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	Guinecean Vessel	Necromancer	white - orange	1x Restored Guinecean Head, 1x Restored Guinecean Arm, 1x Restored Guinecean Arm, 1x Restored Guinecean Leg, 1x Restored Guinecean Leg, 1x Restored Guinecean Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	Half-Elf Vessel	Necromancer	white - orange	1x Restored Human Head, 1x Restored Elven Arm, 1x Restored Elven Arm, 1x Restored Elven Leg, 1x Restored Elven Leg, 1x Restored Elven Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	Half-Giant Vessel	Necromancer	white - orange	1x Restored Human Head, 1x Restored Human Arm, 1x Restored Human Arm, 1x Restored Human Leg, 1x Restored Human Leg, 1x Restored Human Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	High-Elf Vessel	Necromancer	white - orange	1x Restored Elven Head, 1x Restored Elven Arm, 1x Restored Elven Arm, 1x Restored Elven Leg, 1x Restored Elven Leg, 1x Restored Elven Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	Human Vessel	Necromancer	white - orange	1x Restored Human Head, 1x Restored Human Arm, 1x Restored Human Arm, 1x Restored Human Leg, 1x Restored Human Leg, 1x Restored Human Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	Minotaur Vessel	Necromancer	white - orange	1x Restored Minotaur Head, 1x Restored Human Arm, 1x Restored Human Arm, 1x Restored Beast Leg, 1x Restored Beast Leg, 1x Restored HumanTorso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	Nethari Vessel	Necromancer	white - orange	1x Restored Human Head, 1x Restored Human Arm, 1x Restored Human Arm, 1x Restored Human Leg, 1x Restored Human Leg, 1x Restored Human Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	Stoneborn Vessel	Necromancer	white - orange	1x Restored Stoneborn Head, 1x Restored Stoneborn Arm, 1x Restored Stoneborn arm, 1x Restored Stoneborn Leg, 1x Restored Stoneborn Leg, 1x Restored Stoneborn Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
No	No	Wood-Elf Vessel	Necromancer	white - orange	1x Restored Elven Head, 1x Restored Elven Arm, 1x Restored Elven Arm, 1x Restored Elven Leg, 1x Restored Elven Leg, 1x Restored Elven Torso, 75x Ethereal Dust, 1x Philosopher's Stone	1	Yes	No
