IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	CUSTOMIZATION NAME	MATERIALS	EFFECT 1	EFFECT 2
No	No	Metal Section	Rose Aurelium	6x Iron, 6x Aurelium, 6x Aurelium, 6x Coal	Physical Resistance	Attack Power
No	No	Metal Section	Sterling	6x Iron, 6x Silver, 6x Silver, 6x Coal	Elemental Resistance	Attack Power
No	No	Metal Section	Cunife	6x Copper, 6x Copper, 6x Iron, 6x Coal	Organic Resistance	Attack Power
No	No	Metal Section	Steel	6x Copper, 6x Iron, 6x Iron, 6x Coal	Physical Resistance	Support Power
No	No	Metal Section	Green Aurelium	6x Tin, 6x Tin, 6x Aurelium, 6x Coal	Elemental Resistance	Support Power
No	No	Metal Section	Electrum	6x Tin, 6x Aurelium, 6x Silver, 6x Coal	Organic Resistance	Support Power
No	No	Metal Section	Copper	6x Copper, 6x Copper, 6x Copper, 6x Coal	Attack Power	Stamina
No	No	Metal Section	Iron	6x Iron, 6x Iron, 6x Iron, 6x Coal	Support Power	Stamina
No	No	Metal Section	Tin	6x Tin, 6x Tin, 6x Tin, 6x Coal	Physical Resistance	Stamina
No	No	Metal Section	Silver	6x Silver, 6x Silver, 6x Silver, 6x Coal	Elemental Resistance	Stamina
No	No	Metal Section	Aurelium	6x Aurelium, 6x Aurelium, 6x Aurelium, 6x Coal	Organic Resistance	Stamina
