IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	CUSTOMIZATION NAME	MATERIALS	EFFECT 1	EFFECT 2
No	No	Metal Section	Rose Aurelium	6x Iron, 6x Aurelium, 6x Aurelium, 6x Coal	Physical Resistance	Attack Power
No	No	Metal Section	Sterling	6x Iron, 6x Silver, 6x Silver, 6x Coal	Elemental Resistance	Attack Power
No	No	Metal Section	Cunife	6x Copper, 6x Copper, 6x Iron, 6x Coal	Organic Resistance	Attack Power
No	No	Metal Section	Steel	6x Copper, 6x Iron, 6x Iron, 6x Coal	Physical Resistance	Support Power
No	No	Metal Section	Green Aurelium	6x Tin, 6x Tin, 6x Aurelium, 6x Coal	Elemental Resistance	Support Power
No	No	Metal Section	Electrum	6x Tin, 6x Aurelium, 6x Silver, 6x Coal	Organic Resistance	Support Power
No	No	Metal Section	Copper	6x Copper, 6x Copper, 6x Copper, 6x Coal	Attack Power	Stamina
No	No	Metal Section	Iron	6x Iron, 6x Iron, 6x Iron, 6x Coal	Support Power	Stamina
No	No	Metal Section	Tin	6x Tin, 6x Tin, 6x Tin, 6x Coal	Physical Resistance	Stamina
No	No	Metal Section	Silver	6x Silver, 6x Silver, 6x Silver, 6x Coal	Elemental Resistance	Stamina
No	No	Metal Section	Aurelium	6x Aurelium, 6x Aurelium, 6x Aurelium, 6x Coal	Organic Resistance	Stamina
						
No	No	Metal Bar	Rose Aurelium	6x Iron, 6x Aurelium, 6x Aurelium, 6x Coal	Support Power	Attack Power
No	No	Metal Bar	Sterling	6x Iron, 6x Silver, 6x Silver, 6x Coal	Fire Armor Penetration	Attack Power
No	No	Metal Bar	Cunife	6x Copper, 6x Copper, 6x Iron, 6x Coal	Ice Armor Penetration	Attack Power
No	No	Metal Bar	Steel	6x Copper, 6x Iron, 6x Iron, 6x Coal	Electricity Armor Penetration	Attack Power
No	No	Metal Bar	Green Aurelium	6x Tin, 6x Tin, 6x Aurelium, 6x Coal	Nature Armor Penetration	Attack Power
No	No	Metal Bar	Electrum	6x Tin, 6x Aurelium, 6x Silver, 6x Coal	Slashing Armor Penetration	Attack Power
No	No	Metal Bar	Blue Steel	6x Iron, 6x Tin, 6x Silver, 6x Coal	Crushing Armor Penetration	Attack Power
No	No	Metal Bar	Bronze	6x Copper, 6x Copper, 6x Tin, 6x Coal	Piercing Armor Penetration	Attack Power
No	No	Metal Bar	Copper	6x Copper, 6x Copper, 6x Copper, 6x Coal	Critical Strike Chance	Attack Power
No	No	Metal Bar	Iron	6x Iron, 6x Iron, 6x Iron, 6x Coal	Critical Strike Damage	Attack Power
No	No	Metal Bar	Tin	6x Tin, 6x Tin, 6x Tin, 6x Coal	Critical Healing Chance	Support Power
No	No	Metal Bar	Silver	6x Silver, 6x Silver, 6x Silver, 6x Coal	Critical Healing Amount	Support Power
No	No	Metal Bar	Aurelium	6x Aurelium, 6x Aurelium, 6x Aurelium, 6x Coal	Critical Strike Chance	Critical Strike Damage
						
No	No	Arrowhead Bundle	Piercing	9x Iron, 1x Coal	Piercing Damage Type	
No	No	Arrowhead Bundle	Slashing	9x Tin, 1x Coal	Slashing Damage Type	
No	No	Arrowhead Bundle	Crushing	9x Copper, 1x Coal	Crushing Damage Type	
No	No	Arrowhead Bundle	Fire	9x Aurelium, 1x Coal	Fire Damage Type	
No	No	Arrowhead Bundle	Ice	9x Silver, 1x Coal	Ice Damage Type	
						
No	No	Metal Rivets	Stealth	5x Aurelium, 3x Iron, 2x Coal	Stealth	Out Of Combat Health Regeneration
No	No	Metal Rivets	Out Of Combat Health Regeneration	5x Ore, 3x Ore, 2x Coal	Out Of Combat Health Regeneration	
						
No	No	Metal Buckles	Aurelium Stealth	10x Aurelium, 10x Aurelium, 2x Coal	Stealth	Out Of Combat Health Regeneration
No	No	Metal Buckles	Silver Stealth	10x Silver, 10x Silver, 2x Coal	Stealth	Out Of Combat Health Regeneration
No	No	Metal Buckles	Out Of Combat Health Regeneration	10x Ore, 10x Ore, 2x Coal	Out Of Combat Health Regeneration	
						
No	No	Metal Scales	Steel	16x Iron, 10x Copper, 10x Iron, 12x Coal	Bleed Resistance	
No	No	Metal Scales	Dark Bronze	16x Iron, 10x Copper, 10x Tin, 12x Coal	Fire Resistance	
No	No	Metal Scales	Bright Steel	16x Iron, 10x Copper, 10x Silver, 12x Coal	Ice Resistance	
No	No	Metal Scales	Aurelium Steel	16x Iron, 10x Copper, 10x Aurelium, 12x Coal	Electricity Resistance	
No	No	Metal Scales	Invar	16x Iron, 10x Iron, 10x Tin, 12x Coal	Nature Resistance	
No	No	Metal Scales	Silvered Iron	16x Iron, 10x Iron, 10x Silver, 12x Coal	Poison Resistance	
No	No	Metal Scales	Tiger Iron	16x Iron, 10x Iron, 10x Aurelium, 12x Coal	Disease Resistance	
No	No	Metal Scales	Blue Steel	16x Iron, 10x Tin, 10x Silver, 12x Coal	Slashing Resistance	
No	No	Metal Scales	Forest Aurelium	16x Iron, 10x Tin, 10x Aurelium, 12x Coal	Crushing Resistance	
No	No	Metal Scales	Dark Electrum	16x Iron, 10x Silver, 10x Aurelium, 12x Coal	Piercing Resistance	
						
No	No	Metal Plates	Steel	16x Iron, 10x Copper, 10x Iron, 12x Coal	Bleed Resistance	
No	No	Metal Plates	Dark Bronze	16x Iron, 10x Copper, 10x Tin, 12x Coal	Fire Resistance	
No	No	Metal Plates	Bright Steel	16x Iron, 10x Copper, 10x Silver, 12x Coal	Ice Resistance	
No	No	Metal Plates	Aurelium Steel	16x Iron, 10x Copper, 10x Aurelium, 12x Coal	Electricity Resistance	
No	No	Metal Plates	Invar	16x Iron, 10x Iron, 10x Tin, 12x Coal	Nature Resistance	
No	No	Metal Plates	Silvered Iron	16x Iron, 10x Iron, 10x Silver, 12x Coal	Poison Resistance	
No	No	Metal Plates	Tiger Iron	16x Iron, 10x Iron, 10x Aurelium, 12x Coal	Disease Resistance	
No	No	Metal Plates	Blue Steel	16x Iron, 10x Tin, 10x Silver, 12x Coal	Slashing Resistance	
No	No	Metal Plates	Forest Aurelium	16x Iron, 10x Tin, 10x Aurelium, 12x Coal	Crushing Resistance	
No	No	Metal Plates	Dark Electrum	16x Iron, 10x Silver, 10x Aurelium, 12x Coal	Piercing Resistance	
						
No	No	Metal Rings	Steel	20x Iron, 20x Copper, 20x Iron, 12x Coal	Bleed Damage Bonus	
