IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	REQUIRED PROF	RARITIES	MATERIALS	QTY PER CRAFT	ITEM EFFECT QLTY	CUSTOMIZABLE
		Weapon Crafting						
Yes	No	Adhesive	Weapon Crafting Vendor	white	250x gold	1		
Yes	No	Barrel mold: arcane	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Barrel mold: pistol	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Bending form: compound bow	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Bending form: recurve bow	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Bending form: spellbound bow	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Bending form: small shield	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Bending form: medium shield	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Bending form: large shield	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Bending form: staff heel	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Blade mold: curved	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Blade mold: great sword	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Blade mold: long	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Blade mold: medium	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Blade mold: short	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Blade mold: thin	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Head mold: axe	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Head mold: great mace	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Head mold: great axe	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Head mold: hammer	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Head mold: mace	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Appearance compendium: centaur	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: elken	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: fae	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: guinecean	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: half-elf	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: half-giant	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: high-elf	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: human	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: minotaur	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: nethari	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: stoneborn	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Appearance compendium: wood-elf	Weapon Crafting Vendor	white	500x gold	1		
Yes	No	Pen and ink	Weapon Crafting Vendor	white	10x gold	1		
Yes	No	Weapon weights	Weapon Crafting Vendor	white	100x gold	1		
Yes	No	Bottled steam	Weapon Crafting Vendor	white	2000x gold	1		
