IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	CUSTOMIZATION NAME	MATERIALS	EFFECT 1	EFFECT 2
Yes	Yes	Metal Section	Rose Aurelium	Iron, Aurelium, Aurelium	Physical Resistance	Attack Power
Yes	Yes	Metal Section	Sterling	Iron, Silver, Silver	Elemental Resistance	Attack Power
Yes	Yes	Metal Section	Cunife	Copper, Copper, Iron	Organic Resistance	Attack Power
Yes	Yes	Metal Section	Steel	Copper, Iron, Iron	Physical Resistance	Support Power
Yes	Yes	Metal Section	Green Aurelium	Tin, Tin, Aurelium	Elemental Resistance	Support Power
Yes	Yes	Metal Section	Electrum	Tin, Aurelium, Silver	Organic Resistance	Support Power
Yes	Yes	Metal Section	Copper	Copper, Copper, Copper	Attack Power	Stamina
Yes	Yes	Metal Section	Iron	Iron, Iron, Iron	Support Power	Stamina
Yes	Yes	Metal Section	Tin	Tin, Tin, Tin	Physical Resistance	Stamina
Yes	Yes	Metal Section	Silver	Silver, Silver, Silver	Elemental Resistance	Stamina
Yes	Yes	Metal Section	Aurelium	Aurelium, Aurelium, Aurelium	Organic Resistance	Stamina
						
Yes	Yes	Metal Bar	Rose Aurelium	Iron, Aurelium, Aurelium	Support Power	Attack Power
Yes	Yes	Metal Bar	Sterling	Iron, Silver, Silver	Fire Armor Penetration	Attack Power
Yes	Yes	Metal Bar	Cunife	Copper, Copper, Iron	Ice Armor Penetration	Attack Power
Yes	Yes	Metal Bar	Steel	Copper, Iron, Iron	Electricity Armor Penetration	Attack Power
Yes	Yes	Metal Bar	Green Aurelium	Tin, Tin, Aurelium	Nature Armor Penetration	Attack Power
Yes	Yes	Metal Bar	Electrum	Tin, Aurelium, Silver	Slashing Armor Penetration	Attack Power
Yes	Yes	Metal Bar	Blue Steel	Iron, Tin, Silver	Crushing Armor Penetration	Attack Power
Yes	Yes	Metal Bar	Bronze	Copper, Copper, Tin	Piercing Armor Penetration	Attack Power
Yes	Yes	Metal Bar	Copper	Copper, Copper, Copper	Critical Strike Chance	Attack Power
