IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	REQUIRED PROF	RARITIES	MATERIALS	QTY PER CRAFT	ITEM EFFECT QLTY	CUSTOMIZABLE	CRAFTING NAME
		Cuts							
No	No	Baguette Cut Topaz	Jewelcrafter	white - orange	1x Rough Topaz, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Baguette
No	No	Baguette Cut Emerald	Jewelcrafter	white - orange	1x Rough Emerald, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Baguette
No	No	Baguette Cut Ruby	Jewelcrafter	white - orange	1x Rough Ruby, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Baguette
No	No	Baguette Cut Sapphire	Jewelcrafter	white - orange	1x Rough Sapphire, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Baguette
									
No	No	Frigid Focus Gem	Jewelcrafter	white - orange	1x Rough Topaz, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Focusing
No	No	Refreshing Focus Gem	Jewelcrafter	white - orange	1x Rough Emerald, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Focusing
No	No	Volatile Focus Gem	Jewelcrafter	white - orange	1x Rough Ruby, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Focusing
No	No	Cooling Focus Gem	Jewelcrafter	white - orange	1x Rough Sapphire, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Focusing
No	No	Stable Focus Gem	Jewelcrafter	white - orange	1x Rough Diamond, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Focusing
									
No	No	Marquise Cut Topaz	Jewelcrafter	white - orange	1x Rough Topaz, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Marquise
No	No	Marquise Cut Emerald	Jewelcrafter	white - orange	1x Rough Emerald, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Marquise
No	No	Marquise Cut Ruby	Jewelcrafter	white - orange	1x Rough Ruby, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Marquise
No	No	Marquise Cut Sapphire	Jewelcrafter	white - orange	1x Rough Sapphire, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Marquise
