IS IMPLEMENTED	IS CODE UP TO DATE	STAT NAME	WHITE VALUE	GREEN VALUE	BLUE VALUE	PURPLE VALUE	ORANGE VALUE
No	No	Attack Power	0.86	0.98	1.06	1.145	1.23
No	No	Physical Resistance	6.04	6.87	7.43	8.01	8.6
No	No	Elemental Resistance	6.04	6.87	7.43	8.01	8.6
No	No	Organic Resistance	6.04	6.87	7.43	8.01	8.6
No	No	Support Power	1.72	1.96	2.12	2.29	2.46
No	No	Critical Strike Chance	0.03	0.04	0.05	0.06	0.07
No	No	Critical Strike Damage	0.17	0.19	0.21	0.23	0.25
No	No	Fire Armor Penetration	0.08	0.09	0.1	0.11	0.12
No	No	Ice Armor Penetration	0.08	0.09	0.1	0.11	0.12
No	No	Electricity Armor Penetration	0.08	0.09	0.1	0.11	0.12
No	No	Nature Armor Penetration	0.08	0.09	0.1	0.11	0.12
No	No	Slashing Armor Penetration	0.08	0.09	0.1	0.11	0.12
No	No	Crushing Armor Penetration	0.08	0.09	0.1	0.11	0.12
No	No	Piercing Armor Penetration	0.08	0.09	0.1	0.11	0.12
No	No	Critical Healing Chance	0.03	0.04	0.05	0.06	0.07
No	No	Critical Healing Amount	0.17	0.19	0.21	0.23	0.25
No	No	Stamina	0.69	0.79	0.85	0.91	0.98
No	No	Out Of Combat Health Regeneration	0.59	0.67	0.71	0.76	0.8
No	No	Stealth	0.3	0.34	0.37	0.4	0.43
No	No	Bleed Resistance	8.31	9.33	8.85	10.58	11.24
No	No	Fire Resistance	8.31	9.33	8.85	10.58	11.24
No	No	Ice Resistance	8.31	9.33	8.85	10.58	11.24
No	No	Electricity Resistance	8.31	9.33	8.85	10.58	11.24
No	No	Nature Resistance	8.31	9.33	8.85	10.58	11.24
No	No	Poison Resistance	8.31	9.33	8.85	10.58	11.24
No	No	Disease Resistance	8.31	9.33	8.85	10.58	11.24
No	No	Slashing Resistance	8.31	9.33	8.85	10.58	11.24
No	No	Crushing Resistance	8.31	9.33	8.85	10.58	11.24
No	No	Piercing Resistance	8.31	9.33	8.85	10.58	11.24
No	No	Bleed Damage Bonus	0.15	0.17	0.18	0.19	0.2
No	No	Fire Damage Bonus	0.36	0.4	0.43	0.45	0.48
No	No	Ice Damage Bonus	0.36	0.4	0.43	0.45	0.48
No	No	Electricity Damage Bonus	0.36	0.4	0.43	0.45	0.48
No	No	Nature Damage Bonus	0.36	0.4	0.43	0.45	0.48
No	No	Poison Damage Bonus	0.36	0.4	0.43	0.45	0.48
No	No	Disease Damage Bonus	0.36	0.4	0.43	0.45	0.48
No	No	Slashing Damage Bonus	0.36	0.4	0.43	0.45	0.48
No	No	Crushing Damage Bonus	0.36	0.4	0.43	0.45	0.48
No	No	Piercing Damage Bonus	0.36	0.4	0.43	0.45	0.48
No	No	Perception	0	0	0	0.34	0.37
No	No	Lifesteal	0	0	0	0.46	0.49
No	No	Fire Damage Type	1	1	1	1	1
No	No	Ice Damage Type	1	1	1	1	1
No	No	Slashing Damage Type	1	1	1	1	1
No	No	Crushing Damage Type	1	1	1	1	1
No	No	Piercing Damage Type	1	1	1	1	1
